Value Bets,Value Players,ratio_bets_players
114865.3,9492,1210.1274757690687
175409.32,10671,1643.7945834504735
128246.0,8462,1515.5518789884188
133719.2,11849,1128.5273018820155
211757.59999999998,14746,1436.0341787603418
127057.12,6247,2033.8901872898991
45262.1,2285,1980.835886214442
120793.36,6198,1948.9086802194258
208579.0,10565,1974.2451490771416
96911.29999999999,6040,1604.4917218543044
137681.0,7027,1959.3140742849012
133434.07,8841,1509.264449722882
264079.9,12969,2036.2394941784255
188149.86,8591,2190.081015015714
168962.42,11011,1534.4875124875125
126997.09999999999,8460,1501.1477541371157
270809.65,14079,1923.5006037360608
71831.3,4162,1725.8841902931283
145690.2,7480,1947.7299465240644
147270.89,9253,1591.601534637415
142796.72,9903,1441.9541553064728
137489.9,8992,1529.0246886120995
168009.05,10222,1643.6025239679122
216597.3,12336,1755.814688715953
101370.69,5129,1976.422109573016
212503.6,15062,1410.8591156552916
105574.79999999999,7676,1375.3882230328295
120555.85,6506,1852.9949277589917
146281.6,6404,2284.22236102436
110387.6,7337,1504.5331879514788
142241.8,9023,1576.4357752410506
171357.83,8860,1934.0612866817153
69323.7,3519,1969.9829497016196
154149.69999999998,9006,1711.6333555407505
98358.15,5015,1961.2791625124626
87547.5,5625,1556.4
121775.61,7090,1717.5685472496475
155568.2,10914,1425.400403151915
207935.80000000002,12765,1628.9526047786917
124721.03,6398,1949.375273522976
197379.99,11623,1698.184547879205
95108.98,4757,1999.347908345596
201413.69999999998,10747,1874.138829440774
113048.34,5448,2075.0429515418505
101624.7,6100,1665.97868852459
189277.86,9175,2062.9739509536785
136804.46,9926,1378.2436026596815
177207.03,10502,1687.364597219577
192157.59999999998,14637,1312.8209332513493
149154.5,7792,1914.2004620123203
76586.7,3767,2033.0953013007697
180753.30000000002,11794,1532.5869085975921
178310.33,9883,1804.2125872710712
208359.01,11082,1880.1571016062085
102112.54,6581,1551.626500531834
102740.9,7935,1294.7813484562066
104371.1,6709,1555.68788194962
126532.08,5268,2401.8997722095673
82168.09999999999,4449,1846.8891885817036
135354.26,8269,1636.8878945458946
145164.71,9944,1459.8221037811745
104283.25,4720,2209.3908898305085
79873.7,6425,1243.170428015564
143031.2,10420,1372.6602687140116
93336.29,5428,1719.5337140751658
92411.90000000001,6736,1371.9106294536818
205506.19999999998,11316,1816.067515022976
144931.24,8014,1808.4756675817316
99984.7,6601,1514.6901984547796
101674.3,7003,1451.8677709553049
191087.59,10993,1738.2660784135358
50276.8,2298,2187.850304612707
141392.3,10866,1301.23596539665
82352.04,4801,1715.3101437200582
96806.5,6617,1462.9968263563549
154625.30000000002,8168,1893.0619490695399
213684.59999999998,11070,1930.30352303523
156014.41,10398,1500.4271013656473
208206.69999999998,13891,1498.8604132171909
100582.77,4026,2498.3301043219076
94718.0,7071,1339.5276481402914
150599.3,11682,1289.156822461907
170042.14,9573,1776.2680455447614
185872.7,11411,1628.8905442117255
223465.73,12851,1738.8975955178587
80670.0,5591,1442.8545877302809
146319.0,8874,1648.8505747126435
92820.92,4462,2080.2536978933213
55950.299999999996,3195,1751.1830985915492
132806.06,5584,2378.3320200573066
223259.5,10639,2098.5007989472697
220333.16,12603,1748.2596207252243
101069.29,5300,1906.9677358490567
216285.88,12787,1691.4513177445845
96373.35,6221,1549.161710335959
74358.7,5122,1451.751269035533
220926.41,12739,1734.2523745976923
143431.63,7388,1941.413508391987
159874.44,11648,1372.5484203296703
160469.69999999998,8287,1936.4027995655847
171702.41,11001,1560.7891100809018
147223.3,8334,1766.538276937845
151716.7,8662,1751.5204340798891
179478.64,8895,2017.7474985947165
129790.3,6532,1986.9917330067362
